,GWAS P,GWAS Rank,Prop-Value,log10(Prop-Value),Prop Rank,Empirical P,Adjusted Association
CADM4,1.0,9916.0,0.00015008470038279761,-3.8236635774301906,6752.0,0.341320392276,0.341320392276
CADPS,1.0,9916.0,9.5816111979163957e-05,-4.0185614558975455,9069.0,0.458447073097,0.458447073097
CADPS2,1.0,9916.0,6.3844764246763985e-05,-4.1948747123703898,10929.0,0.552471944192,0.552471944192
CAGE1,1.0,9916.0,3.0255741063606524e-05,-4.5191922052867159,13737.0,0.694419168941,0.694419168941
CALB1,1.0,9916.0,0.00017137461037393975,-3.7660535195847231,6087.0,0.307703973309,0.307703973309
CALB2,1.0,9916.0,0.00026152828147203033,-3.5824813399779325,4143.0,0.209432817713,0.209432817713
CALCA,1.0,9916.0,0.00031091036601411844,-3.5073647979706983,3521.0,0.177990092003,0.177990092003
CALCB,6.33e-05,34.0,0.00010857115017244637,-3.9642855613533041,8441.0,0.426701041351,2.70101759175e-05
CALCOCO1,1.0,9916.0,0.00013544626612985075,-3.8682329627353034,7285.0,0.368264078455,0.368264078455
CALCOCO2,1.0,9916.0,0.00024834187929182345,-3.6049500367414855,4361.0,0.220452937013,0.220452937013
CALCR,1.0,9916.0,0.00010822375289139876,-3.9656774100470713,8457.0,0.427509857446,0.427509857446
CALCRL,1.0,9916.0,0.00019613400145687405,-3.7074471112528542,5435.0,0.27474471742,0.27474471742
CALD1,1.0,9916.0,0.0018590582868727664,-2.7307069936221966,462.0,0.0233545647558,0.0233545647558
CALHM1,1.0,9916.0,1.4993657993304296e-06,-5.8240923996733605,18747.0,0.947679708826,0.947679708826
CALHM2,1.0,9916.0,0.0002373083108740573,-3.6246870519068093,4545.0,0.229754322111,0.229754322111
CALM1,1.0,9916.0,0.00081811860771808435,-3.0871837294052247,1476.0,0.0746132848044,0.0746132848044
CALM2,1.0,9916.0,0.00081208123709786248,-3.0904005236423244,1488.0,0.0752198968759,0.0752198968759
CALM3,1.0,9916.0,0.00067827411583878049,-3.168594756077951,1819.0,0.0919522798504,0.0919522798504
CALML3,1.0,9916.0,0.00045048181786278187,-3.3463227331226904,2487.0,0.125720351835,0.125720351835
CALML4,1.0,9916.0,7.8203292862538158e-05,-4.1067749599590533,10021.0,0.506571630775,0.506571630775
CALML5,1.0,9916.0,0.00019142961219952354,-3.7179908804561888,5548.0,0.280456981094,0.280456981094
CALML6,1.0,9916.0,0.0001051625174324644,-3.9781390260846776,8608.0,0.435143059347,0.435143059347
CALN1,1.0,9916.0,7.0526783441505919e-05,-4.1516459228399238,10503.0,0.530937215651,0.530937215651
CALR,1.0,9916.0,0.00040311373866157979,-3.3945724002512248,2733.0,0.138155899302,0.138155899302
CALR3,1.0,9916.0,3.8169140661152437e-05,-4.4182876176333146,12975.0,0.655899302396,0.655899302396
CALU,1.0,9916.0,0.0019740007737081783,-2.7046526814449399,382.0,0.0193104842786,0.0193104842786
CALY,1.0,9916.0,1.0751100825236045e-05,-4.9685470652508084,16330.0,0.825497927409,0.825497927409
CAMK1,1.0,9916.0,0.00023501870419030633,-3.6288975726074701,4599.0,0.232484076433,0.232484076433
CAMK1D,1.0,9916.0,6.505748009386642e-05,-4.1867027624885811,10847.0,0.548326761703,0.548326761703
CAMK1G,1.0,9916.0,0.00022840772028593292,-3.6412892208249885,4700.0,0.237589728036,0.237589728036
CAMK2A,1.0,9916.0,0.00047865498459520633,-3.3199774140914102,2372.0,0.119906986149,0.119906986149
CAMK2B,1.0,9916.0,0.00045894520730771298,-3.3382391610517241,2454.0,0.124052168638,0.124052168638
CAMK2D,1.0,9916.0,0.00029054443292370481,-3.5367874415939164,3747.0,0.189414619351,0.189414619351
CAMK2G,1.0,9916.0,0.00032088207332197093,-3.493654544901434,3397.0,0.171721767263,0.171721767263
CAMK2N1,1.0,9916.0,3.5688141011336649e-05,-4.4474760737743866,13195.0,0.667020523708,0.667020523708
CAMK2N2,1.0,9916.0,4.1338450879647907e-06,-5.3836458021892906,17694.0,0.894449499545,0.894449499545
CAMK4,1.0,9916.0,0.00073377546560106073,-3.1344368133380516,1672.0,0.0845212819735,0.0845212819735
CAMKK1,1.0,9916.0,0.0001376878805759887,-3.8611042850924586,7208.0,0.364371650996,0.364371650996
CAMKK2,1.0,9916.0,0.00014833193972470062,-3.8287653240042294,6813.0,0.34440400364,0.34440400364
CAMKMT,1.0,9916.0,1.5974492224169962e-05,-4.796572937723294,15506.0,0.783843898494,0.783843898494
CAMKV,1.0,9916.0,0.0002452162937109717,-3.6104506759412911,4413.0,0.223081589324,0.223081589324
CAMLG,1.0,9916.0,0.0001473603087075545,-3.8316194773355607,6849.0,0.346223839854,0.346223839854
CAMP,1.0,9916.0,6.9615779498727844e-05,-4.1572923096350944,10550.0,0.533313112931,0.533313112931
CAMSAP1,1.0,9916.0,7.8900787130154954e-05,-4.1029186641596844,9983.0,0.504650692549,0.504650692549
CAMSAP2,1.0,9916.0,0.00028813924452612469,-3.5403975868413688,3774.0,0.190779496512,0.190779496512
CAMSAP3,1.0,9916.0,3.9771246821395126e-05,-4.4004307937471356,12831.0,0.648619957537,0.648619957537
CAMTA1,1.0,9916.0,9.6711950134508075e-05,-4.0145198593521574,9028.0,0.456374481852,0.456374481852
CAMTA2,1.0,9916.0,6.1361579866194691e-05,-4.2121034672087232,11113.0,0.561773329289,0.561773329289
CAND1,1.0,9916.0,0.00045194313291527937,-3.3449162081417625,2482.0,0.125467596805,0.125467596805
CAND2,1.0,9916.0,3.7765502552771779e-05,-4.4229047316885541,13007.0,0.657516934587,0.657516934587
CANT1,1.0,9916.0,0.00011192492160332849,-3.9510732011415577,8268.0,0.417955717319,0.417955717319
CANX,1.0,9916.0,0.0023745594825631856,-2.624416946896702,246.0,0.0124355474674,0.0124355474674
CAP1,1.0,9916.0,0.00077675988084927017,-3.1097132135528449,1570.0,0.0793650793651,0.0793650793651
CAP2,1.0,9916.0,0.0001445597825657169,-3.8399525136747141,6943.0,0.350975634415,0.350975634415
CAPG,1.0,9916.0,0.00069094124483164024,-3.1605588819026615,1784.0,0.0901829946416,0.0901829946416
CAPN1,1.0,9916.0,0.00033146527511181102,-3.4795619623338525,3296.0,0.166616115661,0.166616115661
CAPN10,3.77e-05,23.0,1.9243232641888699e-05,-4.715721969688718,15052.0,0.760893741785,2.86856940653e-05
CAPN11,1.0,9916.0,3.955137646962956e-05,-4.4028383975579031,12856.0,0.649883732686,0.649883732686
CAPN12,1.0,9916.0,6.7996904770100504e-06,-5.1675108559975893,17073.0,0.863057324841,0.863057324841
CAPN13,1.0,9916.0,1.375032213623355e-05,-4.8616871272628197,15823.0,0.799868567384,0.799868567384
CAPN14,1.0,9916.0,0.00015624167203276366,-3.8062031220581609,6550.0,0.331109089071,0.331109089071
CAPN15,1.0,9916.0,0.00011525230050077436,-3.9383503970895455,8102.0,0.409564250329,0.409564250329
CAPN2,1.0,9916.0,0.0016457862226864108,-2.783626577591066,622.0,0.0314427257102,0.0314427257102
CAPN3,1.0,9916.0,0.00012394987021832707,-3.9067539236238233,7760.0,0.392275806289,0.392275806289
CAPN5,1.0,9916.0,0.0046784569455749891,-2.3298973628496182,115.0,0.00581336568598,0.00581336568598
CAPN6,1.0,9916.0,6.7497654444198982e-05,-4.1707113187192046,10692.0,0.540491355778,0.540491355778
CAPN7,1.0,9916.0,0.00027633743417302504,-3.5585602792037636,3939.0,0.199120412496,0.199120412496
CAPN8,1.0,9916.0,1.5337052176734178e-05,-4.8142581049503566,15591.0,0.788140734001,0.788140734001
CAPN9,1.0,9916.0,0.00014064815039490248,-3.8518659746866173,7088.0,0.35830553028,0.35830553028
CAPNS1,1.0,9916.0,0.00044326631705758987,-3.3533352686370459,2517.0,0.127236882014,0.127236882014
